station_id,station_name,station_code,coord_x,coord_y,epsg,munic_code,munic_name,province,cn_network_id,type,category,elev,record_start,record_end,station_variables_id
9695076,ESSN_BER_B4,ESSN_BER_B4-9695076,-3.2295159317672137,37.07081453422285,4326,18451,Bérchules,GRANADA,18,A,S,2503,2017-04-22T11:18:06Z,2020-10-08T09:18:06Z,57
20489859,ESSN_BER_P4,ESSN_BER_P4-20489859,-3.228527950488516,37.0713191551752,4326,18451,Bérchules,GRANADA,18,A,S,2523,2019-05-22T15:19:44Z,2020-10-08T09:19:44Z,57
20489859,ESSN_BER_P4,ESSN_BER_P4-20489859,-3.228527950488516,37.0713191551752,4326,18451,Bérchules,GRANADA,18,A,S,2523,2019-05-22T15:19:44Z,2020-10-08T09:19:44Z,57
9780026,ESSN_BER_R4,ESSN_BER_R4-9780026,-3.2287658954751435,37.07106748735469,4326,18451,Bérchules,GRANADA,18,A,S,2519,2017-04-22T12:00:00Z,2020-10-08T10:00:00Z,57
9772577,ESSN_BER_B5,ESSN_BER_B5-9772577,-3.229808013513481,37.07033907605958,4326,18451,Bérchules,GRANADA,18,A,S,2500,2017-04-22T11:17:23Z,2020-10-08T09:17:23Z,57
9761951,ESSN_BER_P5,ESSN_BER_P5-9761951,-3.2291013228581,37.070158527746784,4326,18451,Bérchules,GRANADA,18,A,S,2524,2017-04-22T11:15:28Z,2020-10-08T09:15:28Z,57
9761922,ESSN_BER_R5,ESSN_BER_R5-9761922,-3.229068134692436,37.06993127503285,4326,18451,Bérchules,GRANADA,18,A,S,2530,2017-04-22T11:16:28Z,2020-10-08T10:16:28Z,57
9761976,ESSN_HZM_G1,ESSN_HZM_G1-9761976,-3.3725574176404,37.101831199941174,4326,18160,Güejar-Sierra,GRANADA,18,A,S,2143,2017-05-03T13:29:40Z,2019-10-31T11:29:40Z,57
9761956,ESSN_HZM_R1,ESSN_HZM_R1-9761956,-3.3723475015975652,37.101850712922015,4326,18160,Güejar-Sierra,GRANADA,18,A,S,2151,2017-05-03T13:29:01Z,2020-10-02T10:29:01Z,57
9761966,ESSN_HZM_E1,ESSN_HZM_E1-9761966,-3.3726459256107795,37.10197542624821,4326,18160,Güejar-Sierra,GRANADA,18,A,S,2135,2017-05-03T13:54:30Z,2020-10-02T09:54:30Z,57
9780034,ESSN_HZM_P1,ESSN_HZM_P1-9780034,-3.3724463434869785,37.10192648745517,4326,18160,Güejar-Sierra,GRANADA,18,A,S,2146,2017-05-03T13:43:52Z,2020-10-02T10:43:52Z,57
20489857,ESSN_HZM_G2,ESSN_HZM_G2-20489857,-3.3730172145835624,37.100641333965285,4326,18160,Güejar-Sierra,GRANADA,18,A,S,2155,2019-06-06T09:00:05Z,2020-10-02T11:00:05Z,57
9695077,ESSN_HZM_B1,ESSN_HZM_B1-9695077,-3.373013972275445,37.100932494568774,4326,18160,Güejar-Sierra,GRANADA,18,A,S,2150,2017-05-03T13:55:01Z,2019-10-31T12:55:01Z,57
20489860,ESSN_HZM_B2,ESSN_HZM_B2-20489860,-3.3731965543029556,37.1006234671837,4326,18160,Güejar-Sierra,GRANADA,18,A,S,2149,2019-06-06T09:01:59Z,2019-10-31T13:01:59Z,57
20489856,ESSN_HZM_E2,ESSN_HZM_E2-20489856,-3.3732504626689885,37.10070499442022,4326,18160,Güejar-Sierra,GRANADA,18,A,S,2148,2019-06-06T09:05:00Z,2020-10-02T11:05:00Z,57
9695064,ESSN_HZM_B3,ESSN_HZM_B3-9695064,-3.373889488127892,37.09987135090505,4326,18160,Güejar-Sierra,GRANADA,18,A,S,2149,2019-06-06T09:09:10Z,2020-10-02T12:09:10Z,57
20489858,ESSN_HZM_R2,ESSN_HZM_R2-20489858,-3.3728196092504072,37.10087444738574,4326,18160,Güejar-Sierra,GRANADA,18,A,S,2154,2019-06-06T08:57:42Z,2020-10-02T10:57:42Z,57
9695081,ESSN_HZM_R3,ESSN_HZM_R3-9695081,-3.3737808034642005,37.09998575759316,4326,18160,Güejar-Sierra,GRANADA,18,A,S,2148,2017-05-03T13:24:54Z,2020-10-02T11:24:54Z,57
9761924,ESSN_HZM_G3,ESSN_HZM_G3-9761924,-3.3735836021739165,37.09995142701468,4326,18160,Güejar-Sierra,GRANADA,18,A,S,2155,2017-05-03T13:37:44Z,2020-10-02T11:37:44Z,57
9772574,ESSN_HZM_P3,ESSN_HZM_P3-9772574,-3.373741357501065,37.10014191021165,4326,18160,Güejar-Sierra,GRANADA,18,A,S,2147,2017-05-03T13:30:23Z,2020-10-02T11:30:23Z,57
9695073,ESSN_HZM_E3,ESSN_HZM_E3-9695073,-3.3738674293942137,37.10012436048838,4326,18160,Güejar-Sierra,GRANADA,18,A,S,2143,2017-05-03T13:25:44Z,2019-06-05T13:25:44Z,57
9772571,ESSN_BER_P4_00,ESSN_BER_P4_00-9772571,-3.228527950488516,37.0713191551752,4326,18451,Bérchules,GRANADA,18,A,S,2523,2017-04-22T11:19:04Z,2018-12-18T14:19:04Z,57
9772571,ESSN_BER_P4_00,ESSN_BER_P4_00-9772571,-3.228527950488516,37.0713191551752,4326,18451,Bérchules,GRANADA,18,A,S,2523,2017-04-22T11:19:04Z,2018-12-18T14:19:04Z,57
